Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Marechal Hermes;2;1;0;70;850.0;200.0;
Apartamento;Praça Seca;2;1;1;63;1100.0;361.0;
Apartamento;Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0
Apartamento;Botafogo;3;0;0;100;6050.0;1155.0;234.0
Apartamento;Lagoa;2;1;1;90;2700.0;1350.0;250.0
Apartamento;Piedade;2;1;0;83;950.0;;13.0
Apartamento;Pechincha;2;1;1;62;1700.0;500.0;67.0
Apartamento;Vila Isabel;2;1;0;63;1300.0;500.0;
Apartamento;Humaitá;3;1;0;95;2300.0;1300.0;120.0
Apartamento;Barra da Tijuca;2;1;0;90;2000.0;980.0;1600.0
Apartamento;Barra da Tijuca;1;1;1;80;1700.0;980.0;250.0
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;1000.0;70.0
Apartamento;Tijuca;1;1;1;87;1400.0;1057.0;162.0
Casa de Condomínio;Santíssimo;2;1;0;70;800.0;200.0;
Apartamento;Jardim Botânico;2;1;1;86;4100.0;830.0;257.0
Apartamento;Tijuca;2;1;0;60;1800.0;420.0;
Apartamento;Recreio dos Bandeirantes;2;1;1;75;2300.0;1220.0;134.0
Apartamento;Água Santa;2;1;0;70;800.0;250.0;14.0
Apartamento;Lagoa;2;1;0;77;2700.0;1050.0;302.0
Apartamento;Barra da Tijuca;3;1;3;80;2800.0;1300.0;
Apartamento;Tijuca;2;1;0;70;1850.0;748.0;48.0
Apartamento;Leblon;2;1;1;82;5900.0;1128.0;300.0
Apartamento;Grajaú;2;0;0;70;1300.0;447.0;
Casa;Taquara;3;1;0;100;2100.0;250.0;
Apartamento;Flamengo;2;1;1;60;3400.0;978.0;130.0
Casa;Campo Grande;2;1;0;100;1300.0;;
Apartamento;Vila Isabel;2;1;1;79;1300.0;950.0;30.0
Apartamento;Jardim Guanabara;2;0;0;92;1600.0;;99.0
Apartamento;Quintino Bocaiúva;2;0;0;80;900.0;170.0;
Apartamento;Ipanema;3;1;0;80;4000.0;1200.0;251.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;2000.0;580.0;80.0
Apartamento;Vila da Penha;2;0;0;70;1200.0;;27.0
Apartamento;Barra da Tijuca;1;1;1;68;2800.0;1250.0;219.0
Apartamento;Jardim Botânico;2;2;1;83;3500.0;1630.0;196.0
Casa de Condomínio;Campo Grande;2;2;0;100;1200.0;40.0;1.0
Apartamento;Barra da Tijuca;1;0;0;71;2100.0;1200.0;220.0
Apartamento;Tijuca;2;1;1;81;2350.0;849.0;80.0
Apartamento;Jacarepaguá;2;1;1;67;2000.0;636.0;75.0
Apartamento;São Francisco Xavier;3;1;0;90;1900.0;210.0;160.0
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;680.0;100.0
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;737.0;142.0
Apartamento;Tijuca;3;0;0;98;1700.0;390.0;93.0
Apartamento;Andaraí;2;0;0;66;700.0;900.0;46.0
Apartamento;Pechincha;2;1;0;60;900.0;420.0;15.0
Apartamento;Santa Teresa;2;0;0;65;1400.0;600.0;
Apartamento;Tijuca;2;1;0;88;1100.0;693.0;32.0
Apartamento;Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0
Apartamento;Campo Grande;2;1;0;70;750.0;330.0;
Apartamento;Tijuca;2;0;1;80;1300.0;;82.0
Apartamento;Gávea;2;1;0;63;3300.0;650.0;
Apartamento;Barra da Tijuca;2;1;0;74;2100.0;750.0;
Apartamento;Barra da Tijuca;2;1;1;70;2300.0;1000.0;80.0
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;560.0;
Casa;Campo Grande;2;0;0;70;1000.0;;
Apartamento;Barra da Tijuca;2;2;1;65;1600.0;1270.0;233.0
Apartamento;Engenho Novo;2;1;0;69;1250.0;600.0;
Apartamento;Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;800.0;130.0
Apartamento;Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0
Apartamento;Barra da Tijuca;2;1;1;80;3500.0;1100.0;140.0
Apartamento;Humaitá;2;1;0;72;2900.0;815.0;96.0
Apartamento;Jacarepaguá;2;1;2;68;1700.0;739.0;
Apartamento;Pechincha;2;1;1;61;1000.0;489.0;
Apartamento;Tijuca;2;1;0;72;1500.0;734.0;
Apartamento;Praia da Bandeira;2;1;0;90;1400.0;480.0;85.0
Apartamento;Tijuca;3;0;0;86;1500.0;690.0;83.0
Apartamento;Grajaú;2;0;0;72;2000.0;;758.0
Apartamento;Saúde;2;0;0;65;1300.0;468.0;30.0
Apartamento;Flamengo;2;1;1;90;3000.0;1200.0;120.0
